"ticker","fiscal_period","fiscal_year","company_cat","simfinid"
"ADBE","Q3",2024,"nonfinancials",14099
"AFSI","Q2",2018,"insurance",822262
"APXI","Q2",2024,"nonfinancials",14122293
"BLOX","Q4",2016,"nonfinancials",252645
"BSPM","Q2",2017,"nonfinancials",543906
"BWAQ","Q2",2023,"nonfinancials",13810646
"CAMP","Q2",2023,"nonfinancials",75639
"CBRL","Q4",2024,"nonfinancials",37621
"CFNB","Q4",2017,"nonfinancials",12444315
"CMD","Q4",2020,"nonfinancials",52478
"CPB","Q4",2024,"nonfinancials",249099
"CUTR","Q3",2024,"nonfinancials",1253252
"DCI","Q4",2024,"nonfinancials",50564
"DEVV","Q3",2019,"nonfinancials",658900
"DYNT","Q4",2024,"nonfinancials",286288
"ESP","Q4",2025,"nonfinancials",230667
"FFIE","Q3",2024,"nonfinancials",12444353
"FGP","Q4",2024,"nonfinancials",825012
"FRBK","Q3",2022,"banks",1169746
"FUL","Q3",2024,"nonfinancials",256748
"FUV","Q3",2023,"nonfinancials",13774414
"GATO","Q2",2023,"nonfinancials",11817105
"GIS","Q1",2024,"nonfinancials",78526
"GSD","Q2",2023,"nonfinancials",12444337
"GWRE","Q4",2024,"nonfinancials",37120
"HYZN","Q3",2024,"nonfinancials",3240771
"LAYN","Q2",2017,"nonfinancials",45965
"LEN","Q3",2023,"nonfinancials",80077
"MAMS","Q4",2019,"nonfinancials",265007
"MFRM","Q2",2017,"nonfinancials",54697
"MITK","Q4",2024,"nonfinancials",369106
"MTN","Q4",2024,"nonfinancials",264322
"NAII","Q4",2024,"nonfinancials",257524
"NTNX","Q4",2024,"nonfinancials",544815
"OFED","Q4",2022,"banks",9075988
"PEP","Q3",2024,"nonfinancials",218222
"PFSW","Q3",2022,"nonfinancials",9076044
"PZG","Q4",2024,"nonfinancials",11035587
"QSIM","Q4",2016,"nonfinancials",689588
"RAVE","Q4",2024,"nonfinancials",640428
"SCHL","Q1",2025,"nonfinancials",651267
"SCS","Q2",2024,"nonfinancials",7962604
"SDDL","Q3",2018,"nonfinancials",654647
"SFIX","Q4",2024,"nonfinancials",902273
"SINO","Q1",2025,"nonfinancials",257712
"SPLS","Q3",2017,"nonfinancials",166539
"TAYD","Q1",2025,"nonfinancials",338837
"TPCS","Q2",2024,"nonfinancials",74307
"TRT","Q4",2024,"nonfinancials",288723
"VIDA","Q1",2012,"nonfinancials",663113
"VWE","Q4",2023,"nonfinancials",1338978
